zip code,color
33547,0
33556,0
33596,0
33620,0
33629,0
33558,1
33572,1
33579,1
33606,1
33626,1
33503,2
33548,2
33559,2
33609,2
33647,2
33549,3
33573,3
33611,3
33616,3
33625,3
33569,4
33578,4
33594,4
33618,4
33624,4
33635,4
33510,5
33511,5
33602,5
33634,5
33637,5
33527,6
33534,6
33566,6
33567,6
33584,6
33565,7
33592,7
33598,7
33603,7
33615,7
33563,8
33570,8
33604,8
33614,8
33617,8
33605,9
33607,9
33610,9
33612,9
33613,9
33619,9
